Course,CourseTitle,CRN,CourseDates,CourseDays,CourseTimes,Room,CreditHours,Enrolled,AvailableSeats,MaxSeats,ScheduleType,InstructionalMethod,Campus,Instructor,Comments,LACCategory,CourseMaterialType,CourseMaterialCost
AFS100-001,HI1-Intro Africana Studies,22640,01/09/2023 05/07/2023,M W F,12:20pm-1:10pm,Candelaria Hall 1260,3,0,65,65,Lecture,Face to Face,Main Campus,George Junne,,"LAH1, LAMS, LC4, LC8",,
AFS205-001,AH2-Survey African Amer Lit,24057,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 1025,3,0,35,35,Lecture,Face to Face,Main Campus,George Junne,,"LAA2, LC3B",,
AFS340-001,The Black Family,22959,01/09/2023 05/07/2023,T R,9:30am-10:45am,Candelaria Hall 2260,3,0,25,25,Lecture,Face to Face,Main Campus,Mitchell Gardner,,,,
ANT110-001,SS3-Intro to Cultural Anthro,23003,01/09/2023 05/07/2023,T R,9:30am-10:45am,Candelaria Hall 1220,3,0,65,65,Lecture,Face to Face,Main Campus,Whitney Duncan Johnson,,"LAB3, LAIS, LC5C, LC7",,
ANT130-001,SC2-Intro to Biologic Anthro,22639,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 1260,3,0,65,65,Lecture,Face to Face,Main Campus,Marian Hamilton,,"LAS1, LC6",,
ANT130L-101,SC1-Intro to Bio Anth Lab,24078,01/09/2023 05/07/2023,M,1:25pm-3:05pm,Candelaria Hall 1190,1,0,20,20,Laboratory,Face to Face,Main Campus,Marian Hamilton,,"LC6, LCLB",,
ANT130L-102,SC1-Intro to Bio Anth Lab,24079,01/09/2023 05/07/2023,W,2:30pm-4:10pm,Candelaria Hall 1190,1,0,0,0,Laboratory,Face to Face,Main Campus,Marian Hamilton,,"LC6, LCLB",,
ANT130L-103,SC1-Intro to Bio Anth Lab,24080,01/09/2023 05/07/2023,F,1:25pm-3:05pm,Candelaria Hall 1190,1,0,20,20,Laboratory,Face to Face,Main Campus,Marian Hamilton,,"LC6, LCLB",,
ANT212-001,SS3-North Amer Indians,22175,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Candelaria Hall 2220,3,0,65,65,Lecture,Face to Face,Main Campus,Sierra Bitsie,,"LAB3, LAMS, LC5C, LC8",,
ANT270-001,Professional Development,22176,01/09/2023 05/07/2023,W,2:30pm-5:30pm,Candelaria Hall 0395,3,0,30,30,Lecture,Face to Face,Main Campus,Michael Kimball,,,,
ANT300-001,Applied Anthropology,21947,01/09/2023 05/07/2023,M,2:30pm-5:30pm,Candelaria Hall 2280,3,0,25,25,Lecture,Face to Face,Main Campus,Michael Kimball,,,,
ANT328-001,Public Archaeology,24081,01/09/2023 05/07/2023,T R,9:30am-10:45am,Candelaria Hall 1190,3,0,25,25,Lecture,Face to Face,Main Campus,Andrew Creekmore,,,,
ANT330-001,Forensic Anthropology,24082,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 1190,3,0,25,25,Lecture,Face to Face,Main Campus,Britney Kyle,,,,
ANT355-001,Medical Anthropology,22644,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Candelaria Hall 1190,3,0,25,25,Lecture,Face to Face,Main Campus,Whitney Duncan Johnson,,,,
ANT470-001,Anthropology of Food,21603,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Candelaria Hall 1190,3,0,20,20,Seminar,Face to Face,Main Campus,Marian Hamilton,,,,
APCE385-009,Prac Comm Engagement:CC,21917,01/09/2023 05/07/2023,R,3:30pm-9:30pm,McKee 0221,3,0,25,25,Practicum/Clinical,Internship/Practica,Main Campus,,MF - This course meets on-campus and online. Support available at www.unco.edu/Canvas.,,,
APCE603-003,Underst Child/Adol & Syst,21918,01/09/2023 05/07/2023,T,9:30am-12:15pm,McKee 0144,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE605-010,Group Lab Experience,24599,03/03/2023 03/05/2023,F,4:00pm-9:00pm,TBA,1,0,25,25,Laboratory,Face to Face,Main Campus,,,,,
APCE608-003,Org/Ad/Eval Sch Couns Prg,22732,01/09/2023 05/07/2023,M,9:00am-12:00pm,McKee 0221,3,0,0,0,Lecture,Face to Face,Main Campus,,,,,
APCE612-003,Pract Indiv Counseling,21919,01/09/2023 05/07/2023,W,1:00pm-8:00pm,McKee 0223,5,0,6,6,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
APCE612-007,Pract Indiv Counseling,21920,01/09/2023 05/07/2023,R,1:00pm-8:00pm,McKee 0138,5,0,6,6,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
APCE616-011,Career Couns Theo & Asses,22589,01/09/2023 05/07/2023,W,1:25pm-4:25pm,McKee 0137,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE617-001,Play Therapy:Theory & PRA,23483,01/09/2023 05/07/2023,M,2:00pm-8:00pm,TBA,3,0,6,6,Practicum/Clinical,Internship/Practica,Main Campus,,,,,
APCE624-003,Assmt Trtmt Substance Abuse,21923,01/09/2023 05/07/2023,W,9:05am-12:05pm,McKee 0221,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE657-006,Legal Eth Asp Coun & Psy,21924,01/09/2023 05/07/2023,T,12:30pm-3:30pm,McKee 0138,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE660-007,Psy Counsult Thry & Pract,22733,02/10/2023 02/10/2023,F,4:00pm-10:00pm,McKee 0221,3,0,25,25,Lecture,Face to Face,Main Campus,,This is a weekend course - F 4-10; Sat 8-5; Sun 8-4 - 2/11-2/13/2022 and 2/25-2/27/2022,,,
APCE661-007,Psych Trauma/Intervent,21925,01/09/2023 05/07/2023,T,12:30pm-3:30pm,McKee 0221,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE662-003,Group Dynamics/Facilit,21926,01/09/2023 05/07/2023,M,9:05am-12:05pm,McKee 0139,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE669-003,Adv Mthds: Cpls/Fam Thrpy,21927,01/09/2023 05/07/2023,T,9:30am-12:15pm,McKee 0221,3,0,25,25,Seminar,Face to Face,Main Campus,,,,,
APCE674-001,Assmt/Int: Cog/Academic,23484,01/09/2023 05/07/2023,R,11:15am-3:20pm,McKee 0221,4,0,10,10,Laboratory,Face to Face,Main Campus,,,,,
APCE677-005,Psychometrics in Coun Psy,24602,01/20/2023 01/20/2023,F,9:05am-1:15pm,TBA,1,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE694-006,Pract Couples/Fam Therapy,21930,01/09/2023 05/07/2023,M,12:30pm-8:30pm,McKee 0424,4,0,8,8,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. MF - This course meets on-campus and online. Support available at www.unco.edu/Canvas.,,,
APCE701-005,Prof Dev Sem in Couns Psy,21931,01/09/2023 05/07/2023,W,11:00am-11:50am,McKee 0138,1,0,15,15,Seminar,Face to Face,Main Campus,,,,,
APCE703-011,Prof Dev Sem in Couns Ed,23721,01/11/2023 01/11/2023,W,2:30pm-5:30pm,TBA,1,0,6,6,Seminar,Face to Face,Main Campus,,,,,
APCE712-103,Adv Prac in Ind Couns,22608,01/09/2023 05/07/2023,M,1:30pm-8:30pm,McKee 0137,4,0,8,8,Practicum/Clinical,Internship/Practica,Main Campus,,Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
APCE712-108,Adv Prac in Ind Couns,22565,01/09/2023 05/07/2023,T,1:30pm-8:30pm,McKee 0428,4,0,8,8,Practicum/Clinical,Internship/Practica,Main Campus,,,,,
APCE714-003,Prac Supvr of Counseling,21933,01/09/2023 05/07/2023,W,9:05am-11:00am,TBA,6-Mar,0,15,15,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
APCE715-005,Sem in Couns Superv/Theor,21934,01/09/2023 05/07/2023,W,11:15am-12:05pm,TBA,2,0,15,15,Seminar,Face to Face,Main Campus,,,,,
APCE746-003,Advanced Seminar CES,22734,01/09/2023 05/07/2023,T,9:30am-12:15pm,TBA,3,0,15,15,Seminar,Face to Face,Main Campus,,,,,
